isco88,Greenness,Brownness
1120,0.0377963,0
1141,0.1698594,0
1142,0.1698594,0
1143,0.1698594,0
1221,0.0481256,0
1222,0,1
1223,0.2260342,0
1224,0.1133889,0
1226,0.2216368,0
1227,0.061363,0
1228,0.0660316,0
1229,0.286136866666667,0
1231,0.0660316,0
1233,0.0860184,0
1235,0.2216368,0
1237,0.0893194,0
1239,0.3961895,0
1311,0.5,0.5
1312,0,1
1313,0.2260342,0
1314,0.1133889,0
1316,0.2216368,0
1317,0.0695814666666667,0
1318,0.0660316,0
1319,0.227867866666667,0
2111,0.05,0
2112,0.4329176,0
2113,0,0.5
2114,0.2149376,1
2131,0.0061315,0
2132,0.0061315,0
2139,0.0045986,0
2141,0.2962638,0
2142,0.3267401,0
2143,0.1606959,0
2144,0.07376815,0
2145,0.2947051,0
2146,0,1
2147,0,1
2149,0.3974365,0
2211,0.53454645,0.05555555
2212,0.0690929,0.1111111
2213,0.2072786,0
2229,1,0
2359,0.0862385,0
2411,0.1563042,0
2412,0.54311925,0
2419,0.16628902,0
2429,0.0382507,0
2443,0.0449735,0
2451,0.1161614,0
3111,0.0572719,1
3112,0.0446421,0
3113,0.089361,0
3114,0.100273,0
3115,0.0462233,0
3116,0.1064441,1
3117,0,1
3119,0.1584036,0
3132,0.100273,0
3145,0.100273,0
3151,0.0446421,0
3152,0.202432128571429,0.142857142857143
3211,0.5,0
3212,0.5275284,0
3213,0.2072786,0
3222,0.55990105,0
3340,0.0862385,0
3411,0.0814926,0
3415,0.055,0
3417,0.0615079,0
3421,0.004454,0
3429,0.0615079,0
3441,0.0062789,0
3443,0.0094184,0
3444,0.0094184,0
3472,0.0193069,0
4131,0.0284543,0
5112,1,0
6113,0.5,0
6121,0,1
6122,0,1
6124,0,1
6129,0,1
6141,1,0
6142,1,0
6210,0,1
7111,0,1
7112,0,1
7121,0.2260342,0
7122,0,0.5
7129,0.40741665,0
7131,0.3009046,0
7134,0.3,0
7136,0.1206143,0
7137,0.5,0
7142,0,0.5
7211,0,0.5
7213,0.0713787,0.3333333
7221,0,1
7222,0,0.3333333
7223,0.005985,0.3636364
7224,0,1
7231,0.5170449,0
7233,0.08844275,0.16666665
7241,0.1348,0.1538462
7242,0.1348,0.1428571
7243,0.1348,0.1428571
7245,1,0
7321,0,0.5
7322,0,1
7411,0,0.25
7413,0,1
7416,0,0.6666667
7421,0,1
7423,0,1
7432,0,1
7435,0,0.3333333
7436,0,0.3333333
7437,0,1
8111,0,1
8112,0,1
8113,0.0083476,1
8121,0,1
8122,0,1
8123,0,1
8124,0,1
8131,0,1
8139,0,1
8141,0,1
8142,0,1
8143,0,1
8151,0,1
8152,0,1
8153,0,1
8154,0,1
8155,0,1
8159,0,1
8161,0.119538,0.5
8163,0.240863,0.5
8211,0.005985,0.3636364
8212,0,1
8221,0,1
8222,0,1
8223,0,1
8229,0,1
8231,0,1
8232,0,0.5833333
8240,0,1
8253,0,1
8261,0,1
8262,0,1
8264,0,1
8271,0,1
8272,0,1
8273,0,1
8274,0,1
8275,0,1
8276,0,1
8277,0,1
8278,0,1
8279,0,1
8281,0.0647683,0
8290,0,0.75
8311,1,0
8312,1,0
8323,1,0
8324,0.0427818,0
8331,1,0
8332,0,0.4
8333,0,0.2
9142,0,1
9153,0,0.5
9161,0.75,0
9162,0.13,0
9211,0,0
9212,1,0
9311,0,1
9313,0.0263455,0
9321,0.625,0.125
9322,0.25,0.25
